id,title,public_type,specific_type,current_collection,proposed_collections,music,confidence,rationale,source_path
studio-panaroma,Studio PANaroma,organization,organization,research,research;music,yes,high,Brazilian electroacoustic music studio and composition contest/biennial host.,content/library/entry/organization/studio-panaroma/index.md
studio-voor-elektronische-muziek,Studio voor Elektronische Muziek (STEM),organization,organization,research,research;music,yes,high,"Utrecht electronic music studio, renamed Institute of Sonology.",content/library/entry/organization/studio-voor-elektronische-muziek/index.md
swr-experimentalstudio,SWR Experimentalstudio,organization,organization,research,research;music,yes,high,Studio for live electronics working directly with composers.,content/library/entry/organization/swr-experimentalstudio/index.md
symbolic-sound,Symbolic Sound,organization,organization,research,research;music,yes,high,Makers of the Kyma sound design environment.,content/library/entry/organization/symbolic-sound/index.md
synclavier-digital,Synclavier Digital,organization,organization,research,research;music,yes,high,Continues the Synclavier digital synthesizer lineage.,content/library/entry/organization/synclavier-digital/index.md
synton,Synton,organization,organization,research,research;music,yes,high,"Synthesizer manufacturer/distributor, built modulars used by Stockhausen.",content/library/entry/organization/synton/index.md
ucsd-electronic-music-studio,"University of California, San Diego Electronic Music Studio",organization,organization,research,research;music,yes,high,"Pauline Oliveros's electronic music studio, later Center for Music Experiment.",content/library/entry/organization/ucsd-electronic-music-studio/index.md
united-dairies,United Dairies,organization,organization,research,research;music,yes,high,Label releasing Nurse With Wound and related experimental music.,content/library/entry/organization/united-dairies/index.md
university-of-helsinki-electronic-music-studio,University of Helsinki Electronic Music Studio,organization,organization,research,research;music,yes,high,"Finland's first electronic music studio, built by Erkki Kurenniemi.",content/library/entry/organization/university-of-helsinki-electronic-music-studio/index.md
university-of-illinois-experimental-music-studios,University of Illinois Experimental Music Studios,organization,organization,research,research;music,yes,high,Arguably the first electronic/computer music studio in the Western Hemisphere.,content/library/entry/organization/university-of-illinois-experimental-music-studios/index.md
university-of-iowa-electronic-music-studios,University of Iowa Electronic Music Studios,organization,organization,research,research;music,yes,high,Built around one of the first real-time digital synthesizers.,content/library/entry/organization/university-of-iowa-electronic-music-studios/index.md
university-of-toronto-electronic-music-studio,University of Toronto Electronic Music Studio,organization,organization,research,research;music,yes,high,Oscillator-bank electronic music studio; site of Oliveros's I of IV.,content/library/entry/organization/university-of-toronto-electronic-music-studio/index.md
vanilla-records,Vanilla Records,organization,organization,research,research;music,yes,high,"Kyoto label, early hub releasing nearly all key Japanese noise acts.",content/library/entry/organization/vanilla-records/index.md
waldorf-music,Waldorf Music,organization,organization,research,research;music,yes,high,German synthesizer manufacturer continuing PPG wavetable synthesis.,content/library/entry/organization/waldorf-music/index.md
wave-notation,Wave Notation,organization,organization,research,research;music,yes,high,Imprint for the landmark kankyo ongaku (environmental music) LP series.,content/library/entry/organization/wave-notation/index.md
wiard,Wiard,organization,organization,research,research;music,yes,high,Modular synthesizer company reinterpreting Buchla-derived design ideas.,content/library/entry/organization/wiard/index.md
world-soundscape-project,World Soundscape Project,organization,organization,research,research;music,yes,medium,"Schafer's research group explicitly engaged in soundscape composition, founding acoustic ecology; borderline scientific/musical but composition is named directly.",content/library/entry/organization/world-soundscape-project/index.md
xerxes,Xerxes,organization,organization,research,research;music,yes,high,Label releasing the bulk of Government Alpha's noise catalog.,content/library/entry/organization/xerxes/index.md
yamaha,Yamaha,organization,organization,research,research;music,yes,high,Brought licensed FM synthesis to market via the DX7/DX1.,content/library/entry/organization/yamaha/index.md
aaron-dilloway,Aaron Dilloway,person,person,research,research;music,yes,high,"noise musician, founding member of Wolf Eyes (1998-2005) and founder of Hanson Records; entire career and catalog is musical.",content/library/entry/person/aaron-dilloway/index.md
alan-pearlman,Alan R. Pearlman,person,person,research,research;music,yes,medium,engineer who founded ARP Instruments and designed the ARP 2500 and 2600; his life's work is musical-instrument design.,content/library/entry/person/alan-pearlman/index.md
alan-turing,Alan Turing,person,person,research,research,no,high,"mathematician and computation theorist; entry documents morphogenesis and theoretical computer science, no musical practice described.",content/library/entry/person/alan-turing/index.md
albert-ayler,Albert Ayler,person,person,research,research;music,yes,high,"free-jazz saxophonist who recast the genre around raw tone and collective improvisation, recorded Spiritual Unity.",content/library/entry/person/albert-ayler/index.md
alvin-curran,Alvin Curran,person,person,research,research;music,yes,high,"composer, co-founder of Musica Elettronica Viva, decades of live electronic improvisation.",content/library/entry/person/alvin-curran/index.md
alvin-lucier,Alvin Lucier,person,person,research,research;music,yes,high,"composer exploring acoustic phenomena and resonance, co-founder of the Sonic Arts Union.",content/library/entry/person/alvin-lucier/index.md
andrew-cyrille,Andrew Cyrille,person,person,research,research;music,yes,high,"free-jazz drummer, longtime collaborator of Cecil Taylor.",content/library/entry/person/andrew-cyrille/index.md
anthony-braxton,Anthony Braxton,person,person,research,research;music,yes,high,"composer and multi-instrumentalist, AACM founding-era member, roughly four hundred compositions.",content/library/entry/person/anthony-braxton/index.md
asmus-tietchens,Asmus Tietchens,person,person,research,research;music,yes,high,electronic-music pioneer pursuing 'absolute music' through musique concrète and synthesis since 1965.,content/library/entry/person/asmus-tietchens/index.md
barry-truax,Barry Truax,person,person,research,research;music,yes,high,"composer and pioneer of real-time granular synthesis, World Soundscape Project member.",content/library/entry/person/barry-truax/index.md
barry-vercoe,Barry Vercoe,person,person,research,research;music,yes,high,"composer and computer scientist who created Csound, a widely used music-synthesis language.",content/library/entry/person/barry-vercoe/index.md
bernard-parmegiani,Bernard Parmegiani,person,person,research,research;music,yes,high,"GRM musique concrète composer, best known for De Natura Sonorum.",content/library/entry/person/bernard-parmegiani/index.md
bill-laswell,Bill Laswell,person,person,research,research;music,yes,high,"bassist and producer across free jazz, dub, ambient, and hip-hop; boundary-crossing recorded output.",content/library/entry/person/bill-laswell/index.md
brian-eno,Brian Eno,person,person,research,research;music,yes,high,"originator of ambient and generative music, decades of recorded and collaborative musical output.",content/library/entry/person/brian-eno/index.md
buckminster-fuller,Buckminster Fuller,person,person,research,research,no,high,"designer and systems thinker; entry documents synergetics and geodesic domes, only a Black Mountain College overlap with Cage, no musical practice of his own.",content/library/entry/person/buckminster-fuller/index.md
cameron-jones,Cameron Jones,person,person,research,research;music,yes,medium,"co-creator of the Synclavier, a foundational digital musical instrument, at Dartmouth and New England Digital.",content/library/entry/person/cameron-jones/index.md
carsten-nicolai,Carsten Nicolai,person,person,research,research;music,yes,high,"musician recording as Alva Noto, founder of the Noton label and co-founder of Raster-Noton.",content/library/entry/person/carsten-nicolai/index.md
cecil-taylor,Cecil Taylor,person,person,research,research;music,yes,high,"pianist and poet, founding figure of free jazz's dense, percussive keyboard language.",content/library/entry/person/cecil-taylor/index.md
chris-carter,Chris Carter,person,person,research,research;music,yes,high,"Throbbing Gristle founding member and designer of the Gristleizer effects unit, continued as Chris & Cosey / Carter Tutti.",content/library/entry/person/chris-carter/index.md
christopher-langton,Christopher Langton,person,person,research,research,no,high,"computer scientist, founder of the artificial-life field; entry covers cellular automata research, no musical practice described.",content/library/entry/person/christopher-langton/index.md
chu-ishikawa,Chu Ishikawa,person,person,research,research;music,yes,high,industrial musician and film composer whose metal-percussion scores defined Tetsuo and other Tsukamoto films.,content/library/entry/person/chu-ishikawa/index.md
conny-plank,Conny Plank,person,person,research,research;music,yes,high,"producer/engineer whose studio work with Kraftwerk, Neu!, Cluster, and Harmonia effectively defines the sound of krautrock.",content/library/entry/person/conny-plank/index.md
conrad-schnitzler,Conrad Schnitzler,person,person,research,research;music,yes,high,"electronic musician, co-founder of Kluster and early member of Tangerine Dream.",content/library/entry/person/conrad-schnitzler/index.md
cosey-fanni-tutti,Cosey Fanni Tutti,person,person,research,research;music,yes,high,"Throbbing Gristle founding member on guitar, cornet, tapes, and vocals, later Chris & Cosey / Carter Tutti.",content/library/entry/person/cosey-fanni-tutti/index.md
curtis-roads,Curtis Roads,person,person,research,research;music,yes,high,composer/researcher who first programmed Xenakis's granular-synthesis theory and wrote the standard text Microsound.,content/library/entry/person/curtis-roads/index.md
darcy-thompson,D'Arcy Wentworth Thompson,person,person,research,research,no,high,"biologist and mathematician; On Growth and Form concerns biological pattern, no musical connection described.",content/library/entry/person/darcy-thompson/index.md
dave-rossum,Dave Rossum,person,person,research,research;music,yes,medium,"founder of E-mu Systems, pioneer of sampling-instrument design (Emulator, SP-12/SP-1200).",content/library/entry/person/dave-rossum/index.md
dave-smith,Dave Smith,person,person,research,research;music,yes,high,"founder of Sequential, designer of the Prophet-5, and driving force behind the MIDI specification.",content/library/entry/person/dave-smith/index.md
david-b-doty,David B. Doty,person,person,research,research;music,yes,high,"composer working in just intonation, author of The Just Intonation Primer.",content/library/entry/person/david-b-doty/index.md
david-behrman,David Behrman,person,person,research,research;music,yes,high,"composer, co-founder of the Sonic Arts Union, produced Columbia's 'Music of Our Time' series.",content/library/entry/person/david-behrman/index.md
david-borden,David Borden,person,person,research,research;music,yes,high,"composer, founded Mother Mallard's Portable Masterpiece Company, one of the first live-synthesizer ensembles.",content/library/entry/person/david-borden/index.md
david-dunn,David Dunn,person,person,research,research;music,yes,high,composer and longtime performing member of the Harry Partch Ensemble.,content/library/entry/person/david-dunn/index.md
david-hilbert,David Hilbert,person,person,research,research,no,high,"mathematician; entry covers set-theory foundations and the decision problem, the Hilbert transform is noted only as later foundational to signal processing generally, no musical practice.",content/library/entry/person/david-hilbert/index.md
david-rosenboom,David Rosenboom,person,person,research,research;music,yes,high,composer and pioneer of integrating biofeedback and neurofeedback directly into musical composition and performance.,content/library/entry/person/david-rosenboom/index.md
david-tudor,David Tudor,person,person,research,research;music,yes,high,"pianist turned live-electronics pioneer, Cage's essential interpreter, built the Rainforest feedback instruments.",content/library/entry/person/david-tudor/index.md
delia-derbyshire,Delia Derbyshire,person,person,research,research;music,yes,high,BBC Radiophonic Workshop composer who realized the Doctor Who theme and pioneered tape-based electronic sound.,content/library/entry/person/delia-derbyshire/index.md
denis-charles,Denis Charles,person,person,research,research;music,yes,high,"free-jazz drummer, longtime collaborator in Cecil Taylor's groups.",content/library/entry/person/denis-charles/index.md
denis-smalley,Denis Smalley,person,person,research,research;music,yes,high,"acousmatic composer who coined 'spectromorphology', worked at the GRM and directed an electroacoustic studio.",content/library/entry/person/denis-smalley/index.md
derek-bailey,Derek Bailey,person,person,research,research;music,yes,high,"guitarist central to free improvisation, co-founded the Music Improvisation Company and Incus Records.",content/library/entry/person/derek-bailey/index.md
dieter-moebius,Dieter Moebius,person,person,research,research;music,yes,high,"electronic musician, co-founder of Kluster, Cluster, and Harmonia.",content/library/entry/person/dieter-moebius/index.md
don-buchla,Don Buchla,person,person,research,research;music,yes,high,"co-inventor of the voltage-controlled modular synthesizer, built the Buchla 100 series.",content/library/entry/person/don-buchla/index.md
don-cherry,Don Cherry,person,person,research,research;music,yes,high,"trumpeter central to free jazz, known for pocket trumpet and world-music fusion.",content/library/entry/person/don-cherry/index.md
don-pullen,Don Pullen,person,person,research,research;music,yes,high,"pianist and organist central to free jazz, known for forearm-cluster technique.",content/library/entry/person/don-pullen/index.md
douglas-hofstadter,Douglas Hofstadter,person,person,research,research,no,medium,"cognitive scientist; Gödel, Escher, Bach analyzes musical structure (Bach) alongside art and logic, but Hofstadter has no musical practice of his own and the entry treats music only as analytical subject matter.",content/library/entry/person/douglas-hofstadter/index.md
ed-blackwell,Ed Blackwell,person,person,research,research;music,yes,high,jazz drummer whose New Orleans-rooted rhythm shaped Ornette Coleman's early quartet and Don Cherry's duo work.,content/library/entry/person/ed-blackwell/index.md
eddie-prevost,Eddie Prévost,person,person,research,research;music,yes,high,"percussionist, co-founder of AMM, founded Matchless Recordings to document improvised music.",content/library/entry/person/eddie-prevost/index.md
eduard-artemyev,Eduard Artemyev,person,person,research,research;music,yes,high,"electronic and film composer who worked on the ANS synthesizer and scored Tarkovsky's Solaris, The Mirror, and Stalker.",content/library/entry/person/eduard-artemyev/index.md
edward-tufte,Edward Tufte,person,person,research,research,no,high,"statistician and data-visualization pioneer; entry is entirely about graphical display of information, no musical connection.",content/library/entry/person/edward-tufte/index.md
eliane-radigue,Éliane Radigue,person,person,research,research;music,yes,high,"composer of slowly evolving electronic and acoustic drone music, GRM tape assistant to Schaeffer and Henry.",content/library/entry/person/eliane-radigue/index.md
else-marie-pade,Else Marie Pade,person,person,research,research;music,yes,high,"first Danish composer of electronic and concrete music, produced tape works for Danmarks Radio.",content/library/entry/person/else-marie-pade/index.md
ennio-morricone,Ennio Morricone,person,person,research,research;music,yes,high,film composer and member of the improvising Gruppo di Improvvisazione Nuova Consonanza.,content/library/entry/person/ennio-morricone/index.md
erkki-kurenniemi,Erkki Kurenniemi,person,person,research,research;music,yes,high,built the University of Helsinki's electronic music studio and designed the DIMI series of electronic instruments.,content/library/entry/person/erkki-kurenniemi/index.md
evan-parker,Evan Parker,person,person,research,research;music,yes,high,"saxophonist central to free improvisation, co-founded the Music Improvisation Company and Incus Records.",content/library/entry/person/evan-parker/index.md
felix-guattari,Félix Guattari,person,person,research,research,no,high,"psychoanalyst and philosopher; entry covers schizoanalysis and the rhizome, no musical practice described.",content/library/entry/person/felix-guattari/index.md
flo-menezes,Flo Menezes,person,person,research,research;music,yes,high,"composer, founder and director of Studio PANaroma, trained at Cologne's WDR electronic-music studio.",content/library/entry/person/flo-menezes/index.md
francisco-varela,Francisco Varela,person,person,research,research,no,high,"biologist and philosopher; co-originator of autopoiesis and later cognitive science, no musical practice described.",content/library/entry/person/francisco-varela/index.md
francois-bayle,François Bayle,person,person,research,research;music,yes,high,"acousmatic composer who coined the term, led the GRM, and developed the multi-speaker Acousmonium.",content/library/entry/person/francois-bayle/index.md
frank-lowe,Frank Lowe,person,person,research,research;music,yes,high,"tenor saxophonist associated with free jazz, recorded Duo Exchange and founded Survival Records.",content/library/entry/person/frank-lowe/index.md
frederic-rzewski,Frederic Rzewski,person,person,research,research;music,yes,high,"composer and pianist, co-founder of Musica Elettronica Viva.",content/library/entry/person/frederic-rzewski/index.md
genesis-p-orridge,Genesis P-Orridge,person,person,research,research;music,yes,high,"Throbbing Gristle founding vocalist, formative figure in industrial music, later founded Psychic TV.",content/library/entry/person/genesis-p-orridge/index.md
georg-cantor,Georg Cantor,person,person,research,research,no,high,"mathematician; founded set theory and transfinite numbers, no musical connection described.",content/library/entry/person/georg-cantor/index.md
george-lewis,George Lewis,person,person,research,research;music,yes,high,"trombonist and composer, AACM member, created the interactive improvisation software Voyager.",content/library/entry/person/george-lewis/index.md
george-orwell,George Orwell,person,person,research,research,no,high,"writer; Nineteen Eighty-Four and Newspeak concern language control and memory, no musical connection.",content/library/entry/person/george-orwell/index.md
georges-bataille,Georges Bataille,person,person,research,research,no,high,"philosopher and librarian; general economy and expenditure, no musical connection described.",content/library/entry/person/georges-bataille/index.md
gilbert-rouget,Gilbert Rouget,person,person,research,research;music,yes,high,ethnomusicologist who built the Musée de l'Homme's music recording studio and authored the comparative study Music and Trance.,content/library/entry/person/gilbert-rouget/index.md
gilles-deleuze,Gilles Deleuze,person,person,research,research,no,high,"philosopher of difference and multiplicity, no musical practice described in the entry.",content/library/entry/person/gilles-deleuze/index.md
gordon-mumma,Gordon Mumma,person,person,research,research;music,yes,high,"composer and horn player, co-founder of the Sonic Arts Union, built his own live-electronic circuitry.",content/library/entry/person/gordon-mumma/index.md
gordon-pask,Gordon Pask,person,person,research,research,no,high,"cybernetician known for conversation theory and adaptive teaching/art machines, no musical practice described.",content/library/entry/person/gordon-pask/index.md
gunter-muller,Günter Müller,person,person,research,research;music,yes,high,"percussionist turned electronic musician, founder of the For4Ears label, prolific free-improvisation recording career.",content/library/entry/person/gunter-muller/index.md
gx-jupitter-larsen,GX Jupitter-Larsen,person,person,research,research;music,yes,high,"noise artist leading The Haters, treats entropy and decay as compositional material across recordings and performance.",content/library/entry/person/gx-jupitter-larsen/index.md
han-bennink,Han Bennink,person,person,research,research;music,yes,high,"percussionist, co-founder of the Instant Composers Pool, central to Dutch and British free improvisation.",content/library/entry/person/han-bennink/index.md
hans-jenny,Hans Jenny,person,person,research,research,no,high,"[human-adjudicated at review checkpoint] physician whose experiments coined cymatics, the scientific study of visible sound/vibration; a study of acoustic physics rather than musical composition or performance.",content/library/entry/person/hans-jenny/index.md
hans-joachim-roedelius,Hans-Joachim Roedelius,person,person,research,research;music,yes,high,"electronic musician, co-founder of the Zodiak Free Arts Lab, Kluster, Cluster, and Harmonia.",content/library/entry/person/hans-joachim-roedelius/index.md
harry-partch,Harry Partch,person,person,research,research;music,yes,high,"composer and instrument builder, the central figure in the 20th-century revival of just intonation.",content/library/entry/person/harry-partch/index.md
heinz-von-foerster,Heinz von Foerster,person,person,research,research,no,high,"physicist and cybernetician, founder of second-order cybernetics and the Biological Computer Laboratory, no musical practice of his own described.",content/library/entry/person/heinz-von-foerster/index.md
herbert-brun,Herbert Brün,person,person,research,research;music,yes,high,cybernetician and composer who developed granular synthesis techniques and computer-generated graphic scores.,content/library/entry/person/herbert-brun/index.md
herbie-hancock,Herbie Hancock,person,person,research,research;music,yes,high,jazz musician who brought Moog modular synthesis into jazz and co-wrote the Grammy-winning 'Rockit.',content/library/entry/person/herbie-hancock/index.md
hermann-von-helmholtz,Hermann von Helmholtz,person,person,research,research;music,yes,medium,founder of modern acoustics and physiological tone perception; On the Sensations of Tone is subtitled a physiological basis for the theory of music and directly redirected Partch toward just intonation.,content/library/entry/person/hermann-von-helmholtz/index.md
hildegard-westerkamp,Hildegard Westerkamp,person,person,research,research;music,yes,high,"composer, World Soundscape Project member, co-founder of the World Forum for Acoustic Ecology.",content/library/entry/person/hildegard-westerkamp/index.md
hiroshi-yoshimura,Hiroshi Yoshimura,person,person,research,research;music,yes,high,"composer central to kankyo ongaku (environmental music), home-recorded keyboard works.",content/library/entry/person/hiroshi-yoshimura/index.md
hugh-davies,Hugh Davies,person,person,research,research;music,yes,high,"instrument builder and musician, Stockhausen's assistant, played in the Music Improvisation Company, founded Goldsmiths' Electronic Music Studios.",content/library/entry/person/hugh-davies/index.md
humberto-maturana,Humberto Maturana,person,person,research,research,no,high,"biologist, co-originator of autopoiesis, no musical practice described.",content/library/entry/person/humberto-maturana/index.md
iannis-xenakis,Iannis Xenakis,person,person,research,research;music,yes,high,composer and architect whose stochastic/set-theoretic methods are foundational to computer and electroacoustic music.,content/library/entry/person/iannis-xenakis/index.md
ikutaro-kakehashi,Ikutaro Kakehashi,person,person,research,research;music,yes,high,"founder of Roland, built the TR-808, TB-303, and Jupiter-8, co-developed the MIDI specification.",content/library/entry/person/ikutaro-kakehashi/index.md
j-allan-hobson,J. Allan Hobson,person,person,research,research,no,high,"[human-adjudicated at review checkpoint] sleep researcher whose Dreamstage exhibit translated live brain signals into light and music, but his core body of work is dream neuroscience, not musical practice.",content/library/entry/person/j-allan-hobson/index.md
jaap-vink,Jaap Vink,person,person,research,research;music,yes,high,"composer of feedback-based electronic music, staff teacher of analogue studio technique at the Institute of Sonology.",content/library/entry/person/jaap-vink/index.md
jacob-klein,Jacob Klein,person,person,research,research,no,high,"philosopher of phenomenology and the history of mathematics, no musical connection described.",content/library/entry/person/jacob-klein/index.md
james-mccartney,James McCartney,person,person,research,research;music,yes,high,"creator of SuperCollider, a widely used real-time audio-synthesis language.",content/library/entry/person/james-mccartney/index.md
james-tenney,James Tenney,person,person,research,research;music,yes,high,"composer and theorist working on Gestalt perception of musical form, just intonation, and computer music.",content/library/entry/person/james-tenney/index.md
jean-claude-eloy,Jean-Claude Éloy,person,person,research,research;music,yes,high,electroacoustic composer who realized Shânti at the WDR studio under Stockhausen's direction.,content/library/entry/person/jean-claude-eloy/index.md
jean-schwarz,Jean Schwarz,person,person,research,research;music,yes,high,electroacoustic composer associated with the GRM through the 1970s and 80s.,content/library/entry/person/jean-schwarz/index.md
jeph-jerman,Jeph Jerman,person,person,research,research;music,yes,high,"sound artist and field recordist, founder of the Big Body Parts label, prolific experimental-music practice built from found objects and homemade devices.",content/library/entry/person/jeph-jerman/index.md
jim-orourke,Jim O'Rourke,person,person,research,research;music,yes,high,"composer, guitarist, and producer whose work threads through free improvisation, noise, rock, and electronic music.",content/library/entry/person/jim-orourke/index.md
john-blacet,John Blacet,person,person,research,research;music,yes,medium,"founder of Blacet Research, synthesizer-module designer who championed the Frac Rack format through the modular revival.",content/library/entry/person/john-blacet/index.md
john-cage,John Cage,person,person,research,research;music,yes,high,"composer, central figure of postwar American experimental music and the New York School.",content/library/entry/person/john-cage/index.md
john-chowning,John Chowning,person,person,research,research;music,yes,high,composer who discovered FM synthesis and co-founded Stanford's CCRMA.,content/library/entry/person/john-chowning/index.md
john-conway,John Horton Conway,person,person,research,research,no,high,"mathematician; Game of Life, surreal numbers, and combinatorial game theory, no musical connection described.",content/library/entry/person/john-conway/index.md
john-duncan,John Duncan,person,person,research,research;music,yes,high,"noise and performance artist closely associated with LAFMS, formative link between American and Japanese noise scenes.",content/library/entry/person/john-duncan/index.md
john-oswald,John Oswald,person,person,research,research;music,yes,high,"composer who coined 'plunderphonics,' building entire compositions from recognizable fragments of other recordings.",content/library/entry/person/john-oswald/index.md
john-von-neumann,John von Neumann,person,person,research,research,no,high,"mathematician; foundational to computing, game theory, and self-reproducing automata, no musical connection described.",content/library/entry/person/john-von-neumann/index.md
john-wiese,John Wiese,person,person,research,research;music,yes,high,"noise musician, member of Sissy Spacek, founder of the Helicopter label.",content/library/entry/person/john-wiese/index.md
jon-appleton,Jon Appleton,person,person,research,research;music,yes,high,"composer whose dissatisfaction with existing synthesizers instigated the Synclavier's development, composed extensively on the instrument.",content/library/entry/person/jon-appleton/index.md
jon-hassell,Jon Hassell,person,person,research,research;music,yes,high,"trumpeter and composer who developed Fourth World music, fusing electronics with non-Western vocal and instrumental technique.",content/library/entry/person/jon-hassell/index.md
jorge-luis-borges,Jorge Luis Borges,person,person,research,research,no,high,"writer of labyrinthine fictions on infinity, time, and language; no musical connection described.",content/library/entry/person/jorge-luis-borges/index.md
jozef-patkowski,Józef Patkowski,person,person,research,research;music,yes,high,"musicologist, founder and long-serving director of the Polish Radio Experimental Studio.",content/library/entry/person/jozef-patkowski/index.md
julian-jaynes,Julian Jaynes,person,person,research,research,no,high,"psychologist; the bicameral-mind theory of consciousness, no musical connection described.",content/library/entry/person/julian-jaynes/index.md
karel-goeyvaerts,Karel Goeyvaerts,person,person,research,research;music,yes,high,composer central to early total serialism who realized one of the WDR studio's first sine-tone electronic pieces and later taught composition with computers at IPEM.,content/library/entry/person/karel-goeyvaerts/index.md
karl-niklas,Karl J. Niklas,person,person,research,research,no,high,botanist studying plant biomechanics and morphology; no musical practice or connection described.,content/library/entry/person/karl-niklas/index.md
karlheinz-stockhausen,Karlheinz Stockhausen,person,person,research,research;music,yes,high,"composer and director of the WDR electronic music studio, a central figure of postwar serialism and electronic music.",content/library/entry/person/karlheinz-stockhausen/index.md
kassel-jaeger,Kassel Jaeger,person,person,research,research;music,yes,high,composer and director of GRM who records albums under this alias; entry is entirely about his musical career.,content/library/entry/person/kassel-jaeger/index.md
keith-rowe,Keith Rowe,person,person,research,research;music,yes,high,founding member of AMM and a central figure of electroacoustic improvisation who invented tabletop guitar technique.,content/library/entry/person/keith-rowe/index.md
kenneth-gaburo,Kenneth Gaburo,person,person,research,research;music,yes,high,"composer and director of multiple university electronic music studios, pioneer of compositional linguistics in music.",content/library/entry/person/kenneth-gaburo/index.md
kevin-fortune,Kevin Fortune,person,person,research,research;music,yes,high,ambient musician and Serge circuit engineer who released ambient recordings and prototyped musical instrument circuits.,content/library/entry/person/kevin-fortune/index.md
kim-ryrie,Kim Ryrie,person,person,research,research;music,yes,high,"co-creator of the Fairlight CMI, a foundational digital musical instrument; entry is entirely about building it.",content/library/entry/person/kim-ryrie/index.md
kiyoshi-mizutani,Kiyoshi Mizutani,person,person,research,research;music,yes,high,co-founding member of Merzbow and prolific solo noise/field-recording musician.,content/library/entry/person/kiyoshi-mizutani/index.md
klaus-schulze,Klaus Schulze,person,person,research,research;music,yes,high,founding figure of the Berlin School electronic music scene with a solo discography of 60+ albums.,content/library/entry/person/klaus-schulze/index.md
knut-wiggen,Knut Wiggen,person,person,research,research;music,yes,high,composer and director of Elektronmusikstudion who created composition software and composed electronic works.,content/library/entry/person/knut-wiggen/index.md
la-monte-young,La Monte Young,person,person,research,research;music,yes,high,"composer, pioneer of minimalism, sustained drone, and just intonation.",content/library/entry/person/la-monte-young/index.md
laurie-spiegel,Laurie Spiegel,person,person,research,research;music,yes,high,"composer and pioneer of computer music and algorithmic composition, creator of the Music Mouse instrument program.",content/library/entry/person/laurie-spiegel/index.md
lejaren-hiller,Lejaren Hiller,person,person,research,research;music,yes,high,composer who produced the first computer-composed score and founded a university electronic music studio.,content/library/entry/person/lejaren-hiller/index.md
louis-andriessen,Louis Andriessen,person,person,research,research;music,yes,high,leading Dutch composer of his generation and co-founder of STEIM.,content/library/entry/person/louis-andriessen/index.md
luc-ferrari,Luc Ferrari,person,person,research,research;music,yes,high,"composer and founding member of GRM, pioneer of anecdotal music built from field recording.",content/library/entry/person/luc-ferrari/index.md
maggi-payne,Maggi Payne,person,person,research,research;music,yes,high,"composer, flutist, and sound engineer who taught and directed the Mills College Center for Contemporary Music for decades.",content/library/entry/person/maggi-payne/index.md
mal-waldron,Mal Waldron,person,person,research,research;music,yes,high,"jazz pianist and composer, Billie Holiday's accompanist and longtime Steve Lacy duo partner.",content/library/entry/person/mal-waldron/index.md
marcus-schmickler,Marcus Schmickler,person,person,research,research;music,yes,high,"composer and producer working across electronic music, sound installation, and electroacoustic improvisation.",content/library/entry/person/marcus-schmickler/index.md
mark-fell,Mark Fell,person,person,research,research;music,yes,high,"musician and artist working in algorithmic composition, rhythm, and microtonal synthesis, half of the duo SND.",content/library/entry/person/mark-fell/index.md
markus-popp,Markus Popp,person,person,research,research;music,yes,high,computer musician and glitch-music pioneer as Oval and half of Microstoria.,content/library/entry/person/markus-popp/index.md
maryanne-amacher,Maryanne Amacher,person,person,research,research;music,yes,high,composer of structure-borne sound and otoacoustic-emission works; entire entry concerns her compositional practice.,content/library/entry/person/maryanne-amacher/index.md
masahiko-togashi,Masahiko Togashi,person,person,research,research;music,yes,high,Japanese free-jazz percussionist and improviser.,content/library/entry/person/masahiko-togashi/index.md
masami-akita,Masami Akita,person,person,research,research;music,yes,high,"founder of Merzbow, one of the most prolific noise musicians on record.",content/library/entry/person/masami-akita/index.md
masayuki-takayanagi,Masayuki Takayanagi,person,person,research,research;music,yes,high,Japanese free-jazz guitarist and pioneer of noise improvisation.,content/library/entry/person/masayuki-takayanagi/index.md
max-mathews,Max Mathews,person,person,research,research;music,yes,high,"wrote MUSIC, the first widely used computer program for generating sound, foundational to all subsequent computer music.",content/library/entry/person/max-mathews/index.md
merrill-ellis,Merrill Ellis,person,person,research,research;music,yes,high,composer who founded a university electronic music program and worked with Robert Moog on a portable performance synthesizer.,content/library/entry/person/merrill-ellis/index.md
michael-allen-z-prime,Michael Allen Z Prime,person,person,research,research;music,yes,high,composer working with bioelectrical sound sources as compositional material and founding member of the improvisation group Morphogenesis.,content/library/entry/person/michael-allen-z-prime/index.md
michael-hoenig,Michael Hoenig,person,person,research,research;music,yes,high,"electronic musician (Agitation Free, briefly Tangerine Dream) and later film/TV composer.",content/library/entry/person/michael-hoenig/index.md
michael-stearns,Michael Stearns,person,person,research,research;music,yes,high,founding figure of the Californian ambient/space-music scene and prolific film sound designer.,content/library/entry/person/michael-stearns/index.md
michel-waisvisz,Michel Waisvisz,person,person,research,research;music,yes,high,"director of STEIM and creator of The Hands, a foundational gestural electronic performance instrument.",content/library/entry/person/michel-waisvisz/index.md
mika-vainio,Mika Vainio,person,person,research,research;music,yes,high,"sound artist and co-founder of Pan Sonic, a defining act of electronic minimalism.",content/library/entry/person/mika-vainio/index.md
