id,title,public_type,specific_type,decision,confidence,current_subjects,proposed_subjects,add,remove,taxonomy_gap,rationale,summary,source_path
serge-modular-music-systems,Serge Modular Music Systems,organization,organization,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Serge Tcherepnin's company, selling low-cost modular synthesizers designed at CalArts from 1973 until 1986.",content/library/organization/serge-modular-music-systems/index.md
siemens-studio-fur-elektronische-musik,Siemens-Studio für elektronische Musik,organization,organization,change,high,sound,sound|instruments,instruments,,,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.","Munich electronic music studio built from Siemens' own synthesizer, active 1959-1968.",content/library/organization/siemens-studio-fur-elektronische-musik/index.md
sts,Sound Transform Systems (STS),organization,organization,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Successor company to Serge Modular Music Systems, founded 1993 by Rex Probe under license from Serge Tcherepnin.",content/library/organization/sts/index.md
steim,STEIM,organization,organization,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Amsterdam studio for electro-instrumental music, founded 1969, focused on hands-on live-electronic instrument building.",content/library/organization/steim/index.md
studio-d-essai,Studio d'Essai,organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Wartime French radio studio founded 1942, ancestor of the GRM lineage.",content/library/organization/studio-d-essai/index.md
studio-di-fonologia-musicale-rai-milano,Studio di Fonologia Musicale della RAI di Milano,organization,organization,change,medium,sound,sound|instruments,instruments,,,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.",Milan electronic music studio founded 1955 by Luciano Berio and Bruno Maderna.,content/library/organization/studio-di-fonologia-musicale-rai-milano/index.md
studio-fur-elektronische-musik-des-wdr,Studio für elektronische Musik des WDR,organization,organization,change,high,sound,sound|instruments,instruments,,,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.","The world's first electronic music studio, founded 1951 at West German Radio in Cologne.",content/library/organization/studio-fur-elektronische-musik-des-wdr/index.md
studio-panaroma,Studio PANaroma,organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Brazilian electroacoustic music studio founded 1994 by Flo Menezes, now at São Paulo State University.",content/library/organization/studio-panaroma/index.md
studio-voor-elektronische-muziek,Studio voor Elektronische Muziek (STEM),organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Utrecht studio founded 1960 on Philips' Eindhoven equipment, renamed Institute of Sonology in 1967.",content/library/organization/studio-voor-elektronische-muziek/index.md
swr-experimentalstudio,SWR Experimentalstudio,organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Freiburg studio for live electronics, founded 1971 within the Heinrich Strobel Foundation.",content/library/organization/swr-experimentalstudio/index.md
symbolic-sound,Symbolic Sound,organization,organization,retain,high,computation|sound,computation|sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American software company founded 1989/90 by Carla Scaletti and Kurt Hebel, makers of Kyma.",content/library/organization/symbolic-sound/index.md
synclavier-digital,Synclavier Digital,organization,organization,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","The modern company continuing the Synclavier lineage, run by original co-creator Cameron Jones.",content/library/organization/synclavier-digital/index.md
synton,Synton,organization,organization,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Dutch synthesizer manufacturer and distributor, founded 1973 by Felix Visser.",content/library/organization/synton/index.md
united-dairies,United Dairies,organization,organization,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","Steven Stapleton's label, founded to release Nurse With Wound and related experimental music.",content/library/organization/united-dairies/index.md
ucsd-electronic-music-studio,"University of California, San Diego Electronic Music Studio",organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","UCSD's electronic music studio, established 1967 by Pauline Oliveros, later renamed the Center for Music Experiment.",content/library/organization/ucsd-electronic-music-studio/index.md
university-of-helsinki-electronic-music-studio,University of Helsinki Electronic Music Studio,organization,organization,change,medium,sound,sound|instruments,instruments,,,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.","Finland's first electronic music studio, built by Erkki Kurenniemi from 1962.",content/library/organization/university-of-helsinki-electronic-music-studio/index.md
university-of-illinois-experimental-music-studios,University of Illinois Experimental Music Studios,organization,organization,retain,high,sound|computation|number,sound|computation|number,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Founded 1958 by Lejaren Hiller, arguably the first electronic/computer music studio in the Western Hemisphere.",content/library/organization/university-of-illinois-experimental-music-studios/index.md
university-of-iowa-electronic-music-studios,University of Iowa Electronic Music Studios,organization,organization,change,high,sound|computation,computation|sound|instruments,instruments,,,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.","Founded 1964 around the world's first real-time digital synthesizer, built by James Cessna.",content/library/organization/university-of-iowa-electronic-music-studios/index.md
university-of-toronto-electronic-music-studio,University of Toronto Electronic Music Studio,organization,organization,change,high,sound,sound|instruments,instruments,,,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.",Canadian electronic music studio built around a bank of twelve keyboard-controlled oscillators.,content/library/organization/university-of-toronto-electronic-music-studio/index.md
vanilla-records,Vanilla Records,organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Kyoto noise label run by Michio Teshima, an early hub for the Japanese noise scene's key acts, 1989–1995.",content/library/organization/vanilla-records/index.md
waldorf-music,Waldorf Music,organization,organization,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",German synthesizer manufacturer founded in 1988 by PPG's former German distributor.,content/library/organization/waldorf-music/index.md
wave-notation,Wave Notation,organization,organization,retain,high,sound|space|perception,sound|space|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Satoshi Ashikawa's environmental-music imprint on his Sound Process label, home to the three-LP Wave Notation series.",content/library/organization/wave-notation/index.md
wiard,Wiard,organization,organization,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Modular synthesizer company founded by Grant Richter in 1999, reinterpreting Buchla-derived 'West Coast' ideas in a DIY-accessible format.",content/library/organization/wiard/index.md
world-soundscape-project,World Soundscape Project,organization,organization,retain,high,sound|perception|space,sound|perception|space,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",R. Murray Schafer's research group at Simon Fraser University that founded acoustic ecology.,content/library/organization/world-soundscape-project/index.md
xerxes,Xerxes,organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Yasutoshi Yoshida's own label, releasing his Government Alpha noise project since 1992.",content/library/organization/xerxes/index.md
yamaha,Yamaha,organization,organization,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Japanese musical instrument manufacturer, founded as Nippon Gakki in 1887, that brought FM synthesis to market with the DX7.",content/library/organization/yamaha/index.md
aaron-dilloway,Aaron Dilloway,person,person,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","American noise musician, member of Wolf Eyes from 1998 to 2005, founder of Hanson Records.",content/library/person/aaron-dilloway/index.md
alan-pearlman,Alan R. Pearlman,person,person,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American engineer, founder of ARP Instruments.",content/library/person/alan-pearlman/index.md
alan-turing,Alan Turing,person,person,retain,high,computation|number|morphogenesis,computation|number|morphogenesis,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Mathematician and father of theoretical computer science.,content/library/person/alan-turing/index.md
albert-ayler,Albert Ayler,person,person,retain,high,sound|perception,sound|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American saxophonist; central figure in free jazz, known for raw tone and collective improvisation.",content/library/person/albert-ayler/index.md
alvin-curran,Alvin Curran,person,person,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","American composer, co-founder of Musica Elettronica Viva.",content/library/person/alvin-curran/index.md
alvin-lucier,Alvin Lucier,person,person,retain,high,sound|perception|space,sound|perception|space,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American composer exploring acoustic phenomena, resonance, and the physics of sound in space.",content/library/person/alvin-lucier/index.md
andrew-cyrille,Andrew Cyrille,person,person,retain,high,sound|time,sound|time,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",American free-jazz drummer known for his work with Cecil Taylor and his own long solo and duo practice.,content/library/person/andrew-cyrille/index.md
anthony-braxton,Anthony Braxton,person,person,retain,high,sound|form,sound|form,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American composer and multi-instrumentalist, an original member of the AACM and one of the most prolific figures in creative music.",content/library/person/anthony-braxton/index.md
asmus-tietchens,Asmus Tietchens,person,person,retain,high,sound|form,sound|form,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","German electronic music pioneer, active in Hamburg since the mid-1960s, pursuing rigorous 'absolute music' through musique concrète and synthesis.",content/library/person/asmus-tietchens/index.md
barry-truax,Barry Truax,person,person,change,medium,sound|computation|space,computation|perception|sound|space,perception,,,"Adds Perception because the record explicitly concerns sensation, listening, cognition, observation, or interpretation.","Canadian composer, World Soundscape Project member, and pioneer of real-time granular synthesis.",content/library/person/barry-truax/index.md
barry-vercoe,Barry Vercoe,person,person,change,high,computation|sound,computation|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","New Zealand-born composer and computer scientist, creator of Csound.",content/library/person/barry-vercoe/index.md
bernard-parmegiani,Bernard Parmegiani,person,person,retain,high,sound|perception,sound|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",French composer of musique concrète and acousmatic sound.,content/library/person/bernard-parmegiani/index.md
bill-laswell,Bill Laswell,person,person,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American bassist, producer, and prolific collaborator across free jazz, dub, ambient, and experimental studio production.",content/library/person/bill-laswell/index.md
brian-eno,Brian Eno,person,person,change,medium,sound|feedback,time|form|computation|sound,time|form|computation,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.",British musician and originator of ambient and generative music.,content/library/person/brian-eno/index.md
buckminster-fuller,Buckminster Fuller,person,person,change,medium,form,number|form|space,number|space,,,"Adds Number, Space because the record explicitly concerns mathematical quantity, ratio, measurement, or numerical structure; spatial organization, geometry, environments, distribution, or spatialization.",Designer and systems thinker.,content/library/person/buckminster-fuller/index.md
cameron-jones,Cameron Jones,person,person,change,high,instruments,computation|instruments,computation,,,"Adds Computation because the record explicitly concerns algorithms, programming, formal processing, or machine computation.","American engineer, co-creator of the Synclavier at Dartmouth College.",content/library/person/cameron-jones/index.md
carsten-nicolai,Carsten Nicolai,person,person,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","German artist and musician, recording as Alva Noto; founder of Noton and co-founder of Raster-Noton.",content/library/person/carsten-nicolai/index.md
cecil-taylor,Cecil Taylor,person,person,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American pianist and poet, a founding figure of free jazz's percussive, dense keyboard language.",content/library/person/cecil-taylor/index.md
chris-carter,Chris Carter,person,person,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","British musician and electronics designer, founding member of Throbbing Gristle and inventor of the Gristleizer.",content/library/person/chris-carter/index.md
christopher-langton,Christopher Langton,person,person,retain,high,computation|dynamics|morphogenesis,computation|dynamics|morphogenesis,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",American computer scientist and founder of the field of artificial life.,content/library/person/christopher-langton/index.md
chu-ishikawa,Chu Ishikawa,person,person,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Japanese composer and industrial musician; longtime film composer for Shinya Tsukamoto.,content/library/person/chu-ishikawa/index.md
conny-plank,Conny Plank,person,person,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","German record producer and sound engineer, the unifying studio hand behind much of krautrock.",content/library/person/conny-plank/index.md
conrad-schnitzler,Conrad Schnitzler,person,person,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Prolific German electronic musician and Kluster co-founder.,content/library/person/conrad-schnitzler/index.md
cosey-fanni-tutti,Cosey Fanni Tutti,person,person,change,medium,sound|perception,sound,,perception,,"The record presents an album or performance without making sensation, listening, cognition, observation, or perceptual organization a substantial subject.","British musician and artist (b. Christine Newby), founding member of COUM Transmissions and Throbbing Gristle.",content/library/person/cosey-fanni-tutti/index.md
curtis-roads,Curtis Roads,person,person,retain,high,computation|sound|time,computation|sound|time,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American composer and researcher who first programmed Xenakis's theory of granular synthesis, later formalizing it in Microsound.",content/library/person/curtis-roads/index.md
darcy-thompson,D'Arcy Wentworth Thompson,person,person,retain,high,morphogenesis|form|number,morphogenesis|form|number,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Scottish biologist and mathematician; On Growth and Form pioneered the mathematical study of biological pattern.,content/library/person/darcy-thompson/index.md
dave-rossum,Dave Rossum,person,person,change,high,instruments,computation|instruments,computation,,,"Adds Computation because the record explicitly concerns algorithms, programming, formal processing, or machine computation.","American engineer, founder of E-mu Systems and pioneer of sampling instrument design.",content/library/person/dave-rossum/index.md
dave-smith,Dave Smith,person,person,change,medium,instruments,computation|instruments|language,computation|language,,,"Adds Computation, Language because the record explicitly concerns algorithms, programming, formal processing, or machine computation; signs, symbols, notation, semantics, grammar, codes, or communication systems.","American engineer, founder of Sequential, designer of the Prophet-5, and driving force behind the MIDI specification.",content/library/person/dave-smith/index.md
david-b-doty,David B. Doty,person,person,retain,high,tuning|number,tuning|number,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",American composer and writer; author of The Just Intonation Primer.,content/library/person/david-b-doty/index.md
david-behrman,David Behrman,person,person,change,high,sound|feedback|computation,computation|sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","American composer, co-founder of the Sonic Arts Union, and Columbia Records producer of the 'Music of Our Time' series.",content/library/person/david-behrman/index.md
david-borden,David Borden,person,person,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American composer, founder of Mother Mallard's Portable Masterpiece Company, one of the first ensembles to perform live on synthesizers.",content/library/person/david-borden/index.md
david-dunn,David Dunn,person,person,change,medium,sound|perception|cybernetics,cybernetics|perception|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","American composer and bioacoustician working at the intersection of music, language, and environment.",content/library/person/david-dunn/index.md
david-hilbert,David Hilbert,person,person,retain,high,number|form|computation,number|form|computation,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",German mathematician who defended and axiomatized Cantorian set theory and posed the Entscheidungsproblem.,content/library/person/david-hilbert/index.md
david-rosenboom,David Rosenboom,person,person,retain,high,sound|feedback|perception,sound|feedback|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American composer and pioneer of biofeedback and brainwave music, longtime Dean of Music at CalArts.",content/library/person/david-rosenboom/index.md
david-tudor,David Tudor,person,person,retain,high,instruments|sound|feedback,sound|instruments|feedback,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Pianist turned live-electronics pioneer; Rainforest and feedback instruments.,content/library/person/david-tudor/index.md
delia-derbyshire,Delia Derbyshire,person,person,retain,high,sound|time,sound|time,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",British composer and BBC Radiophonic Workshop pioneer of musique concrète and electronic sound.,content/library/person/delia-derbyshire/index.md
denis-charles,Denis Charles,person,person,retain,high,sound|instruments|time,sound|instruments|time,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Virgin Islands-born drummer whose loose, melodic pulse shaped early free jazz.",content/library/person/denis-charles/index.md
denis-smalley,Denis Smalley,person,person,change,medium,sound|form|perception,time|form|perception|sound,time,,,"Adds Time because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence.","New Zealand-born composer of acousmatic music, who coined the analytical concept of spectromorphology.",content/library/person/denis-smalley/index.md
derek-bailey,Derek Bailey,person,person,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",English guitarist central to free improvisation and non-idiomatic playing.,content/library/person/derek-bailey/index.md
dieter-moebius,Dieter Moebius,person,person,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Swiss-born German electronic musician, co-founder of Kluster, Cluster, and Harmonia.",content/library/person/dieter-moebius/index.md
don-buchla,Don Buchla,person,person,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American instrument designer, co-inventor of the voltage-controlled modular synthesizer.",content/library/person/don-buchla/index.md
don-cherry,Don Cherry,person,person,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American trumpeter central to free jazz, known for the pocket trumpet and world-music fusion.",content/library/person/don-cherry/index.md
don-pullen,Don Pullen,person,person,retain,high,sound|time,sound|time,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American pianist and organist central to free jazz, known for percussive clusters and rolling-forearm technique.",content/library/person/don-pullen/index.md
douglas-hofstadter,Douglas Hofstadter,person,person,retain,high,number|form|computation,number|form|computation,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American cognitive scientist; author of Gödel, Escher, Bach.",content/library/person/douglas-hofstadter/index.md
ed-blackwell,Ed Blackwell,person,person,retain,high,sound|time,sound|time,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American jazz drummer known for his work with Ornette Coleman and Don Cherry, bringing New Orleans rhythm into free jazz.",content/library/person/ed-blackwell/index.md
eddie-prevost,Eddie Prévost,person,person,retain,high,sound|perception,sound|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","British percussionist, co-founder of AMM, and founder of Matchless Recordings.",content/library/person/eddie-prevost/index.md
eduard-artemyev,Eduard Artemyev,person,person,retain,high,sound|time,sound|time,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Russian electronic and film composer, best known for scoring Andrei Tarkovsky's Solaris, The Mirror, and Stalker.",content/library/person/eduard-artemyev/index.md
edward-tufte,Edward Tufte,person,person,retain,high,form|perception|number,form|perception|number,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",American statistician and political scientist; self-published The Visual Display of Quantitative Information after publishers declined it.,content/library/person/edward-tufte/index.md
else-marie-pade,Else Marie Pade,person,person,retain,high,sound|time,sound|time,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Danish composer; the first Danish composer of electronic and concrete music.,content/library/person/else-marie-pade/index.md
ennio-morricone,Ennio Morricone,person,person,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","Italian composer, best known for film scoring, and a member of Gruppo di Improvvisazione Nuova Consonanza.",content/library/person/ennio-morricone/index.md
erkki-kurenniemi,Erkki Kurenniemi,person,person,change,medium,instruments,cybernetics|computation|instruments|feedback,cybernetics|computation|feedback,,,"Adds Cybernetics, Computation, Feedback because the record explicitly concerns control, regulation, communication, adaptation, or observer–system relations; algorithms, programming, formal processing, or machine computation; a recursive return of output or effects into subsequent input or behavior.",Finnish inventor and composer; built the University of Helsinki's electronic music studio and the DIMI series of instruments.,content/library/person/erkki-kurenniemi/index.md
evan-parker,Evan Parker,person,person,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",English saxophonist central to free improvisation; co-founder of Incus Records.,content/library/person/evan-parker/index.md
flo-menezes,Flo Menezes,person,person,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Brazilian composer; founder and director of Studio PANaroma, shaped by a residency at Cologne's WDR studio.",content/library/person/flo-menezes/index.md
francisco-varela,Francisco Varela,person,person,change,medium,cybernetics|perception|feedback,morphogenesis|cybernetics|perception,morphogenesis,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","Chilean biologist and philosopher; co-originator, with Humberto Maturana, of the concept of autopoiesis.",content/library/person/francisco-varela/index.md
frank-lowe,Frank Lowe,person,person,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",American tenor saxophonist associated with free jazz.,content/library/person/frank-lowe/index.md
francois-bayle,François Bayle,person,person,change,high,sound|space,sound|instruments|space,instruments,,,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.",French composer of acousmatic music and originator of the acousmonium.,content/library/person/francois-bayle/index.md
frederic-rzewski,Frederic Rzewski,person,person,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","American composer and pianist, co-founder of Musica Elettronica Viva and member of Gruppo di Improvvisazione Nuova Consonanza.",content/library/person/frederic-rzewski/index.md
felix-guattari,Félix Guattari,person,person,retain,high,dynamics|form,dynamics|form,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","French psychoanalyst and philosopher; with Gilles Deleuze, developed schizoanalysis and the concept of the rhizome.",content/library/person/felix-guattari/index.md
genesis-p-orridge,Genesis P-Orridge,person,person,retain,high,sound|perception,sound|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","British musician and performance artist (b. Neil Andrew Megson), founder of COUM Transmissions, Throbbing Gristle, and Psychic TV.",content/library/person/genesis-p-orridge/index.md
georg-cantor,Georg Cantor,person,person,retain,high,number|form,number|form,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",German mathematician who founded set theory and the study of transfinite numbers and the infinite.,content/library/person/georg-cantor/index.md
george-lewis,George Lewis,person,person,change,medium,sound|computation|feedback,computation|perception|sound|feedback,perception,,,"Adds Perception because the record explicitly concerns sensation, listening, cognition, observation, or interpretation.","American trombonist, composer, and computer-music pioneer; AACM member and creator of the interactive improvisation software Voyager.",content/library/person/george-lewis/index.md
george-orwell,George Orwell,person,person,retain,high,language|memory,language|memory,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",English writer; Nineteen Eighty-Four's Newspeak made language control and the rewriting of memory a working political mechanism.,content/library/person/george-orwell/index.md
georges-bataille,Georges Bataille,person,person,retain,high,dynamics,dynamics,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","French philosopher and librarian; general economy, excess, and expenditure as the necessary discharge of a system's surplus.",content/library/person/georges-bataille/index.md
gilbert-rouget,Gilbert Rouget,person,person,retain,high,sound|perception,sound|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",French ethnomusicologist; longtime head of the Musée de l'Homme's ethnomusicology department and author of Music and Trance.,content/library/person/gilbert-rouget/index.md
gilles-deleuze,Gilles Deleuze,person,person,retain,high,dynamics|form|language,dynamics|form|language,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","French philosopher of difference, multiplicity, and becoming.",content/library/person/gilles-deleuze/index.md
gordon-mumma,Gordon Mumma,person,person,change,medium,sound|feedback,sound|instruments,instruments,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","American composer and horn player, co-founder of the Sonic Arts Union.",content/library/person/gordon-mumma/index.md
gordon-pask,Gordon Pask,person,person,change,medium,cybernetics|feedback,cybernetics|perception|feedback|language,perception|language,,,"Adds Perception, Language because the record explicitly concerns sensation, listening, cognition, observation, or interpretation; signs, symbols, notation, semantics, grammar, codes, or communication systems.","British cybernetician known for conversation theory and adaptive, interactive machines.",content/library/person/gordon-pask/index.md
gx-jupitter-larsen,GX Jupitter-Larsen,person,person,change,medium,sound|feedback,number|sound|language,number|language,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","American noise and destruction-art figure; leads The Haters, treats entropy and decay as compositional material.",content/library/person/gx-jupitter-larsen/index.md
gunter-muller,Günter Müller,person,person,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Swiss percussionist and electronic musician, founder of the For4Ears label.",content/library/person/gunter-muller/index.md
han-bennink,Han Bennink,person,person,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Dutch percussionist; co-founder of the Instant Composers Pool, central to both Dutch and British free improvisation.",content/library/person/han-bennink/index.md
